match_id,date,home_team,away_team,home_score,away_score,tournament,neutral,home_conf,away_conf,result
2090,2002-01-26,Burkina Faso,Morocco,1.0,2.0,African Cup of Nations,True,CAF,CAF,A
2091,2002-01-26,Senegal,Zambia,1.0,0.0,African Cup of Nations,True,CAF,CAF,H
2092,2002-01-26,Costa Rica,Haiti,2.0,1.0,Gold Cup,True,CONCACAF,CONCACAF,H
2093,2002-01-27,Saudi Arabia,Oman,2.0,0.0,Gulf Cup,False,AFC,AFC,H
2094,2002-01-27,Mexico,South Korea,0.0,0.0,Gold Cup,True,CONCACAF,AFC,D
2095,2002-01-27,United States,El Salvador,4.0,0.0,Gold Cup,False,CONCACAF,CONCACAF,H
2096,2002-01-28,Mali,Algeria,2.0,0.0,African Cup of Nations,False,CAF,CAF,H
2097,2002-01-29,DR Congo,Ivory Coast,3.0,1.0,African Cup of Nations,True,CAF,CAF,H
2098,2002-01-30,Burkina Faso,Ghana,1.0,2.0,African Cup of Nations,True,CAF,CAF,A
2099,2002-01-30,Costa Rica,South Korea,3.0,1.0,Gold Cup,True,CONCACAF,AFC,H
2100,2002-01-30,South Africa,Morocco,3.0,1.0,African Cup of Nations,True,CAF,CAF,H
2101,2002-01-30,United States,Canada,0.0,0.0,Gold Cup,False,CONCACAF,CONCACAF,D
2102,2002-01-30,Saudi Arabia,Qatar,3.0,1.0,Gulf Cup,False,AFC,AFC,H
2103,2002-01-31,Senegal,Tunisia,0.0,0.0,African Cup of Nations,True,CAF,CAF,D
2104,2002-01-31,Egypt,Zambia,2.0,1.0,African Cup of Nations,True,CAF,CAF,H
2105,2002-01-31,Brazil,Bolivia,6.0,0.0,Friendly,False,CONMEBOL,CONMEBOL,H
2106,2002-02-02,United States,Costa Rica,2.0,0.0,Gold Cup,False,CONCACAF,CONCACAF,H
2107,2002-02-02,Canada,South Korea,2.0,1.0,Gold Cup,True,CONCACAF,AFC,H
2108,2002-02-03,Nigeria,Ghana,1.0,0.0,African Cup of Nations,True,CAF,CAF,H
2109,2002-02-03,Mali,South Africa,2.0,0.0,African Cup of Nations,False,CAF,CAF,H
2110,2002-02-04,Cameroon,Egypt,1.0,0.0,African Cup of Nations,True,CAF,CAF,H
2111,2002-02-04,Senegal,DR Congo,2.0,0.0,African Cup of Nations,True,CAF,CAF,H
2112,2002-02-06,Iran,Slovakia,2.0,3.0,Friendly,False,AFC,UEFA,A
2113,2002-02-06,Saudi Arabia,Brazil,0.0,1.0,Friendly,False,AFC,CONMEBOL,A
2114,2002-02-07,Nigeria,Senegal,1.0,2.0,African Cup of Nations,True,CAF,CAF,A
2115,2002-02-07,Mali,Cameroon,0.0,3.0,African Cup of Nations,False,CAF,CAF,A
2116,2002-02-09,Mali,Nigeria,0.0,1.0,African Cup of Nations,False,CAF,CAF,A
2117,2002-02-10,Senegal,Cameroon,0.0,0.0,African Cup of Nations,True,CAF,CAF,D
2118,2002-02-12,Czech Republic,Hungary,2.0,0.0,Cyprus International Tournament,True,UEFA,UEFA,H
2119,2002-02-12,Turkey,Ecuador,0.0,1.0,Friendly,True,UEFA,CONMEBOL,A
2120,2002-02-12,Slovenia,Honduras,1.0,5.0,Lunar New Year Cup,True,UEFA,CONCACAF,A
2121,2002-02-13,Saudi Arabia,Denmark,0.0,1.0,Friendly,False,AFC,UEFA,A
2122,2002-02-13,Mexico,Serbia,1.0,2.0,Friendly,True,CONCACAF,UEFA,A
2123,2002-02-13,Uruguay,South Korea,2.0,1.0,Friendly,False,CONMEBOL,AFC,H
2124,2002-02-13,Switzerland,Hungary,2.0,1.0,Cyprus International Tournament,True,UEFA,UEFA,H
2125,2002-02-13,Spain,Portugal,1.0,1.0,Friendly,False,UEFA,UEFA,D
2126,2002-02-13,Netherlands,England,1.0,1.0,Friendly,False,UEFA,UEFA,D
2127,2002-02-13,Paraguay,Bolivia,2.0,2.0,Friendly,False,CONMEBOL,CONMEBOL,D
2128,2002-02-13,Italy,United States,1.0,0.0,Friendly,False,UEFA,CONCACAF,H
2129,2002-02-13,Croatia,Bulgaria,0.0,0.0,Friendly,False,UEFA,UEFA,D
2130,2002-02-13,Belgium,Norway,1.0,0.0,Friendly,False,UEFA,UEFA,H
2131,2002-02-13,Wales,Argentina,1.0,1.0,Friendly,False,UEFA,CONMEBOL,D
2132,2002-02-13,France,Romania,2.0,1.0,Friendly,False,UEFA,UEFA,H
2133,2002-02-13,Greece,Sweden,2.0,2.0,Friendly,False,UEFA,UEFA,D
2134,2002-02-13,Republic of Ireland,Russia,2.0,0.0,Friendly,False,UEFA,UEFA,H
2135,2002-03-01,Iran,Venezuela,1.0,0.0,Friendly,True,AFC,CONMEBOL,H
2136,2002-03-02,United States,Honduras,4.0,0.0,Friendly,False,CONCACAF,CONCACAF,H
2137,2002-03-07,Brazil,Iceland,6.0,1.0,Friendly,False,CONMEBOL,UEFA,H
2138,2002-03-10,United States,Ecuador,1.0,0.0,Friendly,False,CONCACAF,CONMEBOL,H
2139,2002-03-13,Tunisia,South Korea,0.0,0.0,Friendly,False,CAF,AFC,D
2140,2002-03-13,Mexico,Albania,4.0,0.0,Friendly,True,CONCACAF,UEFA,H
2141,2002-03-20,Finland,South Korea,0.0,2.0,Friendly,True,UEFA,AFC,A
2142,2002-03-20,Saudi Arabia,South Africa,1.0,0.0,Friendly,True,AFC,CAF,H
2143,2002-03-21,Japan,Ukraine,1.0,0.0,Friendly,False,AFC,UEFA,H
2144,2002-03-26,South Korea,Turkey,0.0,0.0,Friendly,True,AFC,UEFA,D
2145,2002-03-26,Nigeria,Paraguay,1.0,1.0,Friendly,True,CAF,CONMEBOL,D
2146,2002-03-27,Romania,Ukraine,4.0,1.0,Friendly,False,UEFA,UEFA,H
2147,2002-03-27,Netherlands,Spain,1.0,0.0,Friendly,False,UEFA,UEFA,H
2148,2002-03-27,Poland,Japan,0.0,2.0,Friendly,False,UEFA,AFC,A
2149,2002-03-27,Portugal,Finland,1.0,4.0,Friendly,False,UEFA,UEFA,A
2150,2002-03-27,Wales,Czech Republic,0.0,0.0,Friendly,False,UEFA,UEFA,D
2151,2002-03-27,Saudi Arabia,Uruguay,3.0,2.0,Friendly,False,AFC,CONMEBOL,H
2152,2002-03-27,Sweden,Switzerland,1.0,1.0,Friendly,False,UEFA,UEFA,D
2153,2002-03-27,Tunisia,Norway,0.0,0.0,Friendly,False,CAF,UEFA,D
2154,2002-03-27,Bulgaria,Ecuador,0.0,3.0,Friendly,True,UEFA,CONMEBOL,A
2155,2002-03-27,Senegal,Bolivia,2.0,1.0,Friendly,False,CAF,CONMEBOL,H
2156,2002-03-27,Germany,United States,4.0,2.0,Friendly,False,UEFA,CONCACAF,H
2157,2002-03-27,France,Scotland,5.0,0.0,Friendly,False,UEFA,UEFA,H
2158,2002-03-27,Croatia,Slovenia,0.0,0.0,Friendly,False,UEFA,UEFA,D
2159,2002-03-27,Brazil,Serbia,1.0,0.0,Friendly,False,CONMEBOL,UEFA,H
2160,2002-03-27,Bosnia and Herzegovina,North Macedonia,4.0,4.0,Friendly,False,UEFA,UEFA,D
