match_id,date,home_team,away_team,home_score,away_score,tournament,neutral,home_conf,away_conf,result
6816,2001-05-05,Madagascar,Tunisia,0.0,2.0,FIFA World Cup qualification,False,,CAF,A
6817,2001-05-05,Nigeria,Liberia,2.0,0.0,FIFA World Cup qualification,False,CAF,,H
6818,2001-05-05,Sierra Leone,Ghana,1.0,1.0,FIFA World Cup qualification,False,,CAF,D
6819,2001-05-05,South Africa,Zimbabwe,2.0,1.0,FIFA World Cup qualification,False,CAF,CAF,H
6820,2001-05-05,Saint Kitts and Nevis,Puerto Rico,2.0,0.0,Friendly,False,,,H
6821,2001-05-05,Taiwan,Uzbekistan,0.0,4.0,FIFA World Cup qualification,True,,AFC,A
6822,2001-05-06,Togo,Zambia,3.0,2.0,FIFA World Cup qualification,False,,CAF,H
6823,2001-05-06,Maldives,Indonesia,0.0,2.0,FIFA World Cup qualification,False,,,A
6824,2001-05-06,Egypt,Senegal,1.0,0.0,FIFA World Cup qualification,False,CAF,CAF,H
6825,2001-05-06,Congo,DR Congo,1.0,1.0,FIFA World Cup qualification,False,,CAF,D
6826,2001-05-06,Cambodia,China,0.0,4.0,FIFA World Cup qualification,False,,AFC,A
6827,2001-05-06,Angola,Cameroon,2.0,0.0,FIFA World Cup qualification,False,CAF,CAF,H
6828,2001-05-07,Jordan,Uzbekistan,1.0,1.0,FIFA World Cup qualification,False,AFC,AFC,D
6829,2001-05-07,Oman,Philippines,7.0,0.0,FIFA World Cup qualification,False,AFC,,H
6830,2001-05-07,Syria,Laos,11.0,0.0,FIFA World Cup qualification,False,,,H
6831,2001-05-07,Turkmenistan,Taiwan,1.0,0.0,FIFA World Cup qualification,True,,,H
6832,2001-05-07,Guernsey,Jersey,4.0,1.0,Muratti Vase,False,,,H
6833,2001-05-09,Estonia,Finland,1.0,1.0,Friendly,False,,UEFA,D
6834,2001-05-09,Georgia,Azerbaijan,1.0,0.0,Friendly,False,UEFA,,H
6835,2001-05-10,Trinidad and Tobago,Grenada,5.0,3.0,Friendly,False,CONCACAF,,H
6836,2001-05-11,Brunei,India,0.0,1.0,FIFA World Cup qualification,False,,AFC,A
6837,2001-05-11,Yemen,United Arab Emirates,2.0,1.0,FIFA World Cup qualification,False,,AFC,H
6838,2001-05-11,Syria,Laos,9.0,0.0,FIFA World Cup qualification,False,,,H
6839,2001-05-11,Oman,Philippines,2.0,0.0,FIFA World Cup qualification,False,AFC,,H
6840,2001-05-13,China,Indonesia,5.0,1.0,FIFA World Cup qualification,False,AFC,,H
6841,2001-05-13,Lebanon,Pakistan,6.0,0.0,FIFA World Cup qualification,False,,,H
6842,2001-05-13,Thailand,Sri Lanka,4.0,2.0,FIFA World Cup qualification,True,AFC,,H
6843,2001-05-15,Lebanon,Sri Lanka,4.0,0.0,FIFA World Cup qualification,False,,,H
6844,2001-05-15,Martinique,Jamaica,0.0,1.0,CFU Caribbean Cup,True,,CONCACAF,A
6845,2001-05-15,Thailand,Pakistan,3.0,0.0,FIFA World Cup qualification,True,AFC,,H
6846,2001-05-15,Trinidad and Tobago,Barbados,5.0,0.0,CFU Caribbean Cup,False,CONCACAF,,H
6847,2001-05-16,Cuba,Suriname,4.0,3.0,CFU Caribbean Cup,True,,,H
6848,2001-05-16,Haiti,Saint Kitts and Nevis,7.0,2.0,CFU Caribbean Cup,True,CONCACAF,,H
6849,2001-05-17,Trinidad and Tobago,Jamaica,2.0,1.0,CFU Caribbean Cup,False,CONCACAF,CONCACAF,H
6850,2001-05-17,Pakistan,Sri Lanka,3.0,3.0,FIFA World Cup qualification,True,,,D
6851,2001-05-17,Andalusia,Iraq,3.0,1.0,Friendly,False,,AFC,H
6852,2001-05-17,Lebanon,Thailand,1.0,2.0,FIFA World Cup qualification,False,,AFC,A
6853,2001-05-17,Martinique,Barbados,3.0,1.0,CFU Caribbean Cup,True,,,H
6854,2001-05-18,Haiti,Suriname,1.0,1.0,CFU Caribbean Cup,True,CONCACAF,,D
6855,2001-05-18,Saint Kitts and Nevis,Cuba,1.0,1.0,CFU Caribbean Cup,True,,,D
6856,2001-05-18,Syria,Oman,3.0,3.0,FIFA World Cup qualification,False,,AFC,D
6857,2001-05-18,United Arab Emirates,Yemen,3.0,2.0,FIFA World Cup qualification,False,AFC,,H
6858,2001-05-19,Barbados,Jamaica,1.0,2.0,CFU Caribbean Cup,True,,CONCACAF,A
6859,2001-05-19,Laos,Philippines,2.0,0.0,FIFA World Cup qualification,False,,,H
6860,2001-05-19,Trinidad and Tobago,Martinique,1.0,2.0,CFU Caribbean Cup,False,CONCACAF,,A
6861,2001-05-20,Suriname,Saint Kitts and Nevis,0.0,4.0,CFU Caribbean Cup,True,,,A
6862,2001-05-20,Lesotho,Eswatini,1.0,0.0,Friendly,False,,,H
6863,2001-05-20,Tunisia,Ivory Coast,1.0,1.0,FIFA World Cup qualification,False,CAF,CAF,D
